grid_pt,date,moisture,bulk_dens,wt_<2mm,pH_ratio,paste_pH,hygro_mois,oxid_org_C,oxid_org_mat,tot_org_C,tot_org_mat
2,1990-08-20,38.95,0.98,363.24,4,3.16,7.74,13.34,10.06,17.34,NaN
3,1990-08-20,27.76,1.1,385.7,4.4,2.37,4.45,7.68,5.79,9.98,NaN
4,1990-08-20,36.2,0.97,388.06,3.4,3.6,2.79,6.58,11.35,8.56,14.76
5,1990-08-20,32.9,1.04,384.09,4.4,2.59,4.79,8.26,6.23,10.74,NaN
6,1990-08-20,35.33,1.01,361.22,4.5,2.55,5.06,8.72,6.58,11.34,NaN
7,1990-08-20,93,0.62,258.86,3.3,3.58,10.1,17.41,13.12,22.63,NaN
8,1990-08-20,69.77,0.63,259.09,4.6,10.45,18.19,31.36,23.64,40.76,NaN
9,1990-08-20,58.99,0.74,305.99,4.9,4.5,9.63,16.6,12.52,21.58,NaN
10,1990-08-20,22.46,1.1,413.75,4.9,4.7,1.67,3.57,6.15,4.64,8
10A,1990-08-20,29.65,0.86,291.7,5.1,2.76,6.38,11,8.3,14.3,NaN
11,1990-08-20,9.55,1.48,375.45,4.5,4.4,1.17,0.63,1.09,0.82,1.42
12,1990-08-20,19.77,1.12,318.88,4.5,1.99,4.7,8.11,6.11,10.54,NaN
14,1990-08-20,20.6,1.18,207.14,4.4,2.99,7.12,12.28,9.26,15.96,NaN
15,1990-08-20,22.12,1.13,416.24,4.6,1.95,2.93,5.05,3.81,6.56,NaN
16,1990-08-20,33.25,1.06,414.23,4.4,2.25,4.44,7.65,5.77,9.95,NaN
17,1990-08-20,44.52,0.86,317.8,4.6,3.9,3.53,7.39,12.74,9.6,16.56
18,1990-08-20,46.49,0.92,370.35,4.7,5.4,8.23,14.18,10.69,18.44,NaN
19,1990-08-20,29.05,1.03,330.37,4.8,4.8,2.85,5.57,9.59,7.23,12.47
20,1990-08-20,20.08,0.92,296.09,4.7,2.16,4.2,7.24,5.46,9.42,NaN
20A,1990-08-20,32.76,0.85,317.89,5,3.25,6.26,10.8,8.14,14.04,NaN
21,1990-08-20,28.79,0.95,388.11,4.4,2.81,5.14,8.86,6.68,11.52,NaN
22,1990-08-20,30.54,0.97,341.29,4.5,2.37,4.94,8.51,6.42,11.06,NaN
23,1990-08-20,24,0.91,348.38,3.5,4.3,2.46,4.53,7.82,5.89,10.16
24,1990-08-20,22.59,0.99,342.74,4.5,2.06,3.81,6.57,4.96,8.55,NaN
25,1990-08-20,39.99,0.91,385.08,4.4,3.2,5.18,8.93,6.73,11.61,NaN
26,1990-08-20,32.55,1.11,428.06,4.3,2.55,4.52,7.79,5.87,10.12,NaN
27,1990-08-20,83.45,0.53,217.85,4.3,4.77,14.8,25.52,19.24,33.17,NaN
28,1990-08-20,55.92,0.69,266.02,4.5,4.83,9.66,16.65,12.55,21.64,NaN
29,1990-08-20,43.75,0.84,353.11,4.8,4.8,3.88,7,12.07,9.1,15.69
30,1990-08-20,46.99,0.72,292.9,4.9,4.08,8.02,13.82,10.42,17.97,NaN
31,1990-08-21,38.39,0.91,361.52,4.2,2.98,5.5,9.49,7.15,12.33,NaN
32,1990-08-21,20.2,1.06,372.35,4.6,1.87,2.2,3.79,2.85,4.92,NaN
33,1990-08-21,27.27,1.02,369.07,4.4,2.31,3.76,6.48,4.89,8.43,NaN
34,1990-08-21,23.06,1.15,379.82,4.3,2.39,4.25,7.34,5.53,9.54,NaN
35,1990-08-21,33.38,0.92,367.73,4.3,2.72,4.81,8.28,6.25,10.77,NaN
36,1990-08-21,63.56,0.67,279.21,4.3,4.97,10.43,17.98,13.56,23.38,NaN
37,1990-08-21,89.37,0.49,203.13,4.2,4.6,5.5,14.52,25.03,18.88,32.54
38,1990-08-21,44.58,0.81,292.79,4.5,3.98,8.26,14.25,10.74,18.52,NaN
39,1990-08-21,51.05,0.85,356.56,5.1,4.04,6.33,10.91,8.23,14.19,NaN
40,1990-08-21,40.72,0.88,323.41,4.7,5,3.9,6.83,11.77,8.87,15.3
40A,1990-08-21,61.1,0.74,304.04,4.6,5.92,9.72,16.75,12.63,21.77,NaN
43,1990-08-21,49.59,0.75,300.72,4.2,4.2,9.38,16.17,12.19,21.02,NaN
44,1990-08-21,26.35,0.9,366.57,4.5,1.99,3.82,6.59,4.97,8.57,NaN
45,1990-08-21,12.64,1.24,301.88,4.6,4.8,1.69,2.16,3.72,2.81,4.84
46,1990-08-21,52.54,0.67,275.61,4.2,3.37,7.94,13.69,10.32,17.8,NaN
47,1990-08-21,127.33,0.46,184.63,4.6,4.7,6.53,20.57,35.46,26.74,46.09
48,1990-08-21,37.82,0.91,368.86,4.8,3.12,5.44,9.38,7.07,12.19,NaN
49,1990-08-21,74.64,0.64,259.13,4.3,6.07,15.48,26.68,20.12,34.69,NaN
50,1990-08-21,52.19,0.8,328.68,5.2,5.2,3.8,6.71,11.56,8.72,15.03
50A,1990-08-21,86.21,0.48,194.74,4.9,8.76,16.72,28.82,21.73,37.47,NaN
51,1990-08-21,24.58,0.8,229.18,4.6,4.6,2.87,5.55,9.58,7.22,12.45
52,1990-08-21,46.97,0.76,239.91,4.6,3,5.53,9.53,7.19,12.39,NaN
53,1990-08-21,30.74,0.88,308.79,4.3,3.23,6.43,11.09,8.36,14.42,NaN
54,1990-08-21,57.3,0.56,231.45,4.4,4.39,9.79,16.87,12.72,21.93,NaN
55,1990-08-23,18.81,381.58,4.7,1.58,2.76,4.76,3.59,6.18,NaN,NaN
56,1990-08-21,33.57,1.17,430.82,4.7,4.4,1.34,2.27,3.91,2.95,5.09
57,1990-08-21,90.61,0.53,219.34,4.5,4.5,4.35,9.5,16.38,12.35,21.3
58,1990-08-21,39.52,0.86,324.79,4.7,3.23,7.06,12.18,9.18,15.83,NaN
59,1990-08-21,69.18,0.66,278.85,4.5,5.92,10.64,18.35,13.84,23.85,NaN
60,1990-08-21,31.47,1.01,335.94,4.3,3.11,5.5,9.49,7.15,12.33,NaN
60A,1990-08-21,41.11,0.91,378.75,5.2,4.22,5.63,9.7,7.32,12.61,NaN
61,1990-08-21,36.46,1,359.08,4,3.08,6.92,11.93,9,15.51,NaN
62,1990-08-21,31.29,0.95,327.94,4,2.76,5.43,9.37,7.06,12.18,NaN
64,1990-08-21,83.35,0.52,208.81,4.1,5.02,12.3,21.21,15.99,27.57,NaN
65,1990-08-22,12.34,0.99,345.39,4.8,1.4,1.23,2.13,1.6,2.76,NaN
66,1990-08-22,20.28,1.59,530.78,5.8,1.04,0.53,0.91,0.68,1.18,NaN
67,1990-08-22,54.65,0.84,356.52,4.5,4.8,3.52,5.73,9.89,7.45,12.85
68,1990-08-22,97.27,0.54,208.3,4.6,10.6,16.23,27.98,21.1,36.37,NaN
69,1990-08-22,50.87,0.92,385.72,5.1,5.22,7.86,13.55,10.21,17.61,NaN
70,1990-08-22,64.27,0.79,331.09,5,5,5.48,10.73,18.5,13.95,24.05
70A,1990-08-22,28.11,1.09,383.62,5.1,3.2,4.43,7.64,5.76,9.93,NaN
72,1990-08-22,26.49,0.76,246.74,4.3,2.66,5.61,9.66,7.29,12.56,NaN
73,1990-08-22,27.16,1.1,350.71,4.3,2.64,4.97,8.56,6.46,11.13,NaN
74,1990-08-22,20.29,1.08,457.01,5,1.5,1.73,2.98,2.24,3.87,NaN
75,1990-08-22,19.73,1.05,374.98,4.7,1.73,1.74,3,2.26,3.9,NaN
76,1990-08-22,7.22,308.85,6,5.6,0.88,0.47,0.81,0.61,1.05,NaN
77,1990-08-22,122,0.54,211.24,4.6,4.7,4.6,12.51,21.56,16.26,28.03
78,1990-08-22,19.41,1.18,294.05,5.3,1.94,3.06,5.27,3.98,6.85,NaN
79,1990-08-22,60.54,0.7,290.05,4.3,4.65,9.47,16.32,12.31,21.21,NaN
80,1990-08-22,61.72,0.66,276.21,4.4,4.94,10.66,18.38,13.86,23.89,NaN
80A,1990-08-22,55.74,0.8,326.95,4.6,4.6,5.86,12.08,20.83,15.71,27.08